timestamp,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15,ch16
1784664070.261000,-215.37,-18.07,-1.43,40.10,-15.25,-0.87,-5.84,27.49,-15.07,-10.04,-0.76,12.32,-12.47,-33.83,13.16,74.21
1784664070.264000,-79.70,-25.68,13.11,31.90,-2.60,-9.41,9.75,36.70,-5.40,-7.58,-0.50,18.04,-1.79,-24.56,21.34,85.93
1784664070.264000,12.90,-23.30,16.36,23.69,8.90,-11.47,20.20,18.18,2.99,-2.97,-2.78,12.19,1.64,-18.22,26.67,43.64
1784664070.324000,-25.97,-12.40,5.01,12.65,9.37,-5.62,15.09,-10.69,2.43,5.00,-5.50,-2.34,-2.85,-15.54,25.23,-11.94
1784664070.324000,-150.35,-5.05,-8.91,-0.26,0.61,0.68,-0.01,-19.55,-5.44,17.30,-5.80,-9.05,-7.17,-10.13,19.40,-23.00
1784664070.327000,-225.83,-11.58,-9.85,-8.91,-6.20,-0.92,-8.89,3.72,-11.20,30.20,-2.77,4.89,-3.05,2.87,16.57,25.94
1784664070.327000,-161.95,-29.00,5.85,-8.71,-2.32,-10.35,-0.74,39.32,-7.55,34.92,1.76,34.71,8.75,19.18,22.24,89.15
1784664070.381000,4.26,-44.22,27.50,-0.95,9.98,-18.87,19.65,56.27,3.36,25.05,4.84,62.85,19.74,29.50,34.16,102.75
1784664070.381000,150.76,-47.40,40.74,9.63,20.40,-18.25,36.99,43.17,12.46,4.44,4.54,74.02,22.97,28.59,44.20,47.72
1784664070.387000,189.61,-38.75,38.35,19.52,21.62,-9.22,40.75,12.67,13.02,-14.57,1.07,64.43,18.04,18.48,45.99,-32.14
1784664070.387000,124.21,-23.21,21.48,28.62,15.10,1.28,33.48,-18.62,4.96,-22.14,-3.42,39.58,7.81,4.34,40.13,-78.33
1784664070.388000,17.32,-5.28,-3.76,38.43,6.41,8.41,25.11,-41.91,-7.95,-18.60,-5.98,8.08,-4.89,-10.06,32.32,-71.16
1784664070.388000,-51.48,9.64,-28.09,48.52,-0.78,11.40,22.54,-53.10,-20.15,-11.42,-4.79,-20.16,-16.12,-22.25,27.75,-32.66
1784664070.391000,-43.40,16.78,-43.06,55.17,-5.71,11.45,23.30,-53.35,-26.11,-7.79,-0.55,-36.93,-21.89,-30.50,27.35,-0.28
1784664070.391000,-15.75,16.78,-47.14,51.76,-10.08,11.45,17.39,-48.67,-25.48,-9.59,4.48,-41.67,-21.84,-33.90,28.31,2.59
1784664070.395000,-57.44,12.78,-44.90,33.62,-15.98,14.38,-0.76,-38.75,-23.57,-12.78,8.85,-39.35,-18.90,-30.11,27.53,-8.57
1784664070.395000,-148.26,4.07,-39.56,7.81,-21.50,19.11,-20.99,-15.27,-23.54,-10.68,12.53,-32.40,-14.94,-16.24,24.89,5.11
1784664070.399000,-161.73,-9.42,-29.87,-6.86,-20.83,20.80,-24.53,18.38,-22.37,-0.41,15.56,-20.74,-9.59,3.07,23.20,50.08
1784664070.399000,-42.93,-18.43,-16.36,0.79,-11.81,17.14,-6.71,37.65,-16.74,12.76,16.99,-8.69,-3.34,13.61,24.13,80.23
1784664070.503000,89.37,-11.11,-6.11,18.43,-1.15,11.95,13.91,22.70,-9.93,20.99,16.00,-4.06,1.22,5.48,24.87,53.42
1784664070.503000,82.41,9.76,-4.37,23.33,2.38,9.60,15.72,-10.87,-8.09,24.23,13.56,-5.97,3.55,-12.33,21.35,-6.17
1784664070.506000,-46.78,24.93,-3.47,10.47,0.24,8.04,0.04,-23.99,-10.04,28.97,12.24,-0.60,8.06,-19.28,14.20,-30.30
1784664070.506000,-126.13,19.92,8.97,-1.99,3.13,2.62,-11.02,-0.36,-7.35,35.82,13.69,20.83,17.92,-7.28,8.88,8.38
1784664070.510000,-51.49,3.29,29.63,2.48,15.10,-4.11,-2.98,32.49,2.74,36.09,16.56,44.04,27.16,8.87,9.11,60.33
1784664070.510000,79.72,-3.29,38.94,16.98,25.50,-3.42,13.40,37.44,10.80,24.92,18.08,44.81,25.48,9.75,12.75,62.38
1784664070.513000,99.53,8.21,26.00,20.75,22.23,7.18,17.30,14.15,6.75,12.09,17.62,21.24,12.40,-4.23,15.00,19.08
1784664070.513000,-16.76,22.78,4.98,5.32,8.65,17.70,4.45,-2.01,-6.08,13.07,17.18,0.78,1.11,-13.47,13.89,-3.35
1784664070.516000,-122.92,20.86,-0.38,-16.89,1.17,15.56,-8.15,15.74,-13.27,30.60,18.33,10.38,5.18,-2.99,11.18,39.42
1784664070.516000,-68.22,0.36,17.17,-27.61,11.50,-0.59,-1.90,56.12,-4.60,50.38,20.17,47.10,24.02,21.45,9.32,116.16
1784664070.520000,145.04,-22.10,43.15,-19.00,33.92,-18.55,23.53,86.18,15.11,55.56,20.78,81.88,43.24,41.43,8.62,153.68
1784664070.520000,368.51,-28.20,57.04,3.63,49.78,-23.11,50.32,86.25,29.62,42.08,19.54,88.01,47.44,44.69,7.30,108.52
1784664070.563000,451.86,-14.33,49.19,28.06,44.02,-9.10,60.02,64.25,25.69,20.12,17.67,63.83,33.18,33.85,3.86,8.19
1784664070.563000,366.90,6.93,26.48,43.15,19.74,13.34,48.99,42.09,5.73,4.57,16.62,30.85,12.14,20.84,-1.14,-66.85
1784664070.566000,207.91,18.63,6.63,44.97,-3.21,26.65,28.63,33.25,-13.50,3.17,16.53,13.71,1.33,15.07,-5.75,-53.25
1784664070.566000,97.34,14.32,3.56,37.38,-6.74,21.52,13.85,31.08,-16.48,10.16,16.03,19.35,7.36,14.95,-8.31,29.60
1784664070.570000,75.44,4.07,13.45,25.63,7.19,5.76,9.68,16.88,-4.42,12.31,13.80,31.23,19.95,9.76,-8.89,94.80
1784664070.570000,69.27,3.44,18.83,10.15,19.51,-4.37,7.52,-16.36,6.80,3.83,10.42,27.54,23.09,-6.82,-9.58,79.77
