timestamp,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15,ch16
1784664071.353000,135.34,5.39,10.83,0.54,8.76,17.30,9.98,-11.47,-14.60,-4.60,1.62,13.94,4.31,2.77,19.19,-21.10
1784664071.353000,66.09,10.13,8.78,6.65,8.45,24.08,1.37,-36.20,-14.08,-12.56,-0.34,6.63,0.02,-11.58,17.53,-51.92
1784664071.356000,-55.97,18.10,-3.78,-2.35,-0.19,25.34,-14.52,-36.21,-20.77,-8.99,0.48,-6.35,-4.89,-13.86,13.70,-61.68
1784664071.356000,-91.50,15.01,-9.78,-15.16,-5.91,16.93,-21.46,-6.29,-25.80,6.59,5.07,-4.30,-3.96,0.77,10.38,-34.87
1784664071.403000,24.85,-1.93,0.18,-16.74,-1.12,2.13,-11.12,36.59,-22.63,22.48,11.73,16.74,3.59,23.41,9.91,11.18
1784664071.403000,224.50,-19.83,17.23,-4.23,12.02,-9.14,9.83,68.49,-13.28,24.61,16.85,38.62,11.15,38.67,12.26,43.69
1784664071.523000,384.75,-21.71,22.86,10.44,25.80,-7.77,28.23,76.28,-4.87,9.64,17.42,38.11,10.37,37.56,15.10,41.59
1784664071.523000,431.31,-3.66,8.10,11.89,33.08,6.23,35.52,62.45,-2.73,-9.84,13.94,11.07,-0.55,23.57,15.66,9.10
1784664071.529000,369.59,19.26,-14.95,-2.84,30.68,21.93,31.10,39.30,-6.93,-15.57,10.01,-19.97,-13.30,9.09,13.47,-26.71
1784664071.529000,256.18,27.28,-23.87,-19.20,20.97,26.40,20.02,18.35,-12.65,-2.68,8.57,-26.99,-16.43,4.64,11.30,-38.85
1784664071.581000,146.98,16.76,-10.40,-19.79,9.79,17.46,8.19,0.59,-14.11,13.84,9.25,-6.65,-7.46,8.26,12.09,-30.98
1784664071.581000,52.10,3.55,9.62,-4.41,0.59,6.02,-2.59,-20.38,-10.95,15.39,9.80,15.75,3.89,8.30,15.24,-33.25
1784664071.584000,-51.44,3.86,14.34,9.07,-7.56,4.04,-14.17,-42.27,-8.87,1.01,8.81,15.57,6.60,-0.70,16.99,-57.72
1784664071.584000,-151.39,15.92,0.96,5.56,-14.67,11.54,-25.23,-49.04,-11.52,-12.44,6.85,-3.44,0.57,-9.66,14.62,-75.84
1784664071.702000,-176.23,24.14,-12.70,-9.84,-15.96,17.73,-28.39,-30.34,-14.39,-11.25,5.34,-16.34,-4.94,-6.74,9.73,-55.83
1784664071.702000,-68.85,18.79,-9.33,-18.15,-6.65,14.03,-17.45,0.34,-9.72,-0.76,4.57,-7.81,-3.33,6.68,6.68,-8.53
1784664071.704000,133.56,7.32,10.23,-8.98,10.87,3.32,4.17,16.15,4.04,1.84,3.20,10.25,1.54,16.24,8.06,19.15
1784664071.704000,314.05,6.01,29.49,6.14,26.76,-3.82,24.42,3.53,19.47,-11.60,0.47,12.08,-0.09,9.88,11.95,-7.89
1784664071.708000,367.46,21.38,32.30,5.25,31.20,-0.75,31.78,-24.10,26.59,-29.33,-1.92,-12.13,-11.92,-9.32,14.14,-73.27
1784664071.708000,282.16,41.20,17.83,-17.84,22.79,7.98,24.11,-37.67,22.18,-31.83,-1.49,-41.95,-24.74,-25.49,13.03,-116.59
1784664071.712000,142.92,46.99,1.02,-42.96,9.81,11.67,9.76,-21.80,12.64,-15.35,1.47,-47.55,-24.73,-25.27,11.53,-91.09
1784664071.712000,43.61,35.34,-4.80,-44.67,1.29,6.33,-1.11,5.12,6.53,1.91,3.37,-24.07,-10.06,-11.13,13.26,-18.65
1784664071.763000,-7.61,22.03,-3.70,-22.00,-2.85,0.01,-7.10,9.54,4.75,0.28,1.34,2.07,4.98,2.06,17.46,29.20
1784664071.763000,-65.46,22.01,-8.44,0.92,-8.94,2.29,-13.89,-16.08,1.52,-18.60,-2.82,5.04,5.96,4.48,19.47,13.45
1784664071.766000,-133.27,31.14,-19.70,3.87,-17.17,11.41,-22.24,-43.92,-4.95,-34.75,-3.97,-10.87,-5.29,1.45,16.38,-30.68
1784664071.766000,-142.79,34.97,-26.31,-9.02,-19.35,17.49,-25.71,-47.46,-9.20,-33.74,0.45,-22.77,-15.43,2.35,10.56,-45.77
